OCC_source,OCC_target,out_degree,trans_prob_cc,trans_prob_cc_in
11-9020,11-9190,16,0.004009375,0.004158834734174855
11-9020,13-1050,16,0.004009375,0.0035169956140350877
11-9020,11-3050,16,0.004009375,0.004082250208263475
11-9020,17-2150,16,0.004009375,0.003755687536148062
11-9020,49-1010,16,0.004009375,0.004213727996956874
11-9020,37-1012,16,0.004009375,0.004152250480625987
11-9030,25-2030,16,0.004009375,0.00602702992600549
11-9030,25-9030,16,0.004009375,0.005255907725411078
11-9030,11-3130,16,0.004009375,0.0050817240790912484
11-9030,11-1010,16,0.004009375,0.003999322592347167
11-9030,11-9150,16,0.004009375,0.00430535586604332
11-9030,39-9010,16,0.004009375,0.005613125
11-9030,25-2010,16,0.004009375,0.007275060941043083
11-9030,25-1000,16,0.004009375,0.004949767642296939
11-9030,19-4060,16,0.004009375,0.0042936579915143795
11-9030,25-2020,16,0.004009375,0.005696505708716235
11-9030,13-1110,16,0.004009375,0.004271442187628334
11-9030,11-9110,16,0.004009375,0.0039479105385641765
11-9030,21-1090,16,0.004009375,0.004647638128010092
11-9030,21-1010,16,0.004009375,0.005039422789119903
11-9030,21-2020,16,0.004009375,0.004402115865593736
11-9030,25-3000,16,0.004009375,0.005363644896555114
11-9040,13-1190,19,0.003376315789473684,0.004254854649736996
11-9040,17-2040,19,0.003376315789473684,0.004144885981095652
11-9040,13-1080,19,0.003376315789473684,0.00423387753053846
11-9040,11-9190,19,0.003376315789473684,0.004158834734174855
11-9040,17-2070,19,0.003376315789473684,0.004659427070408737
11-9040,25-1000,19,0.003376315789473684,0.004949767642296939
11-9040,11-3050,19,0.003376315789473684,0.004082250208263475
11-9040,11-9120,19,0.003376315789473684,0.004096890765874395
11-9040,17-2030,19,0.003376315789473684,0.004421958001590677
11-9040,17-2050,19,0.003376315789473684,0.003836663274152748
11-9040,17-2199,19,0.003376315789473684,0.004427441285837183
11-9040,51-8090,19,0.003376315789473684,0.004004528610677749
11-9040,17-2110,19,0.003376315789473684,0.004419238682021347
11-9040,51-8010,19,0.003376315789473684,0.003923590467850432
11-9040,11-9020,19,0.003376315789473684,0.0036702520512253483
11-9040,17-3020,19,0.003376315789473684,0.004390182014608795
11-9040,19-2040,19,0.003376315789473684,0.004013859412140396
11-9040,41-9030,19,0.003376315789473684,0.00366336469620743
11-9040,17-3010,19,0.003376315789473684,0.004971783340928078
11-9050,35-1012,14,0.004582142857142857,0.00442444072145175
11-9050,35-1011,14,0.004582142857142857,0.004273326940269516
11-9050,35-3040,14,0.004582142857142857,0.004107718513068745
11-9050,35-2010,14,0.004582142857142857,0.004106554453955164
11-9050,35-9030,14,0.004582142857142857,0.004064096849674595
11-9050,41-1010,14,0.004582142857142857,0.004139690789819865
11-9050,35-2020,14,0.004582142857142857,0.004155237031587263
11-9050,35-9010,14,0.004582142857142857,0.004111878257755531
11-9050,35-3030,14,0.004582142857142857,0.004143190330141279
11-9050,37-1011,14,0.004582142857142857,0.0043987976478930425
11-9050,11-9080,14,0.004582142857142857,0.003821299472639933
11-9050,51-3020,14,0.004582142857142857,0.00407033868230153
11-9050,11-1020,14,0.004582142857142857,0.003901763100603517
11-9050,45-2010,14,0.004582142857142857,0.004081316353991832
11-9060,39-4030,17,0.003773529411764706,0.004391738580047403
11-9060,39-4020,17,0.003773529411764706,0.004183676120448179
11-9060,11-9150,17,0.003773529411764706,0.00430535586604332
11-9060,39-9090,17,0.003773529411764706,0.004315369532428356
11-9060,39-4010,17,0.003773529411764706,0.004391738580047403
11-9060,11-1020,17,0.003773529411764706,0.003901763100603517
11-9060,29-2050,17,0.003773529411764706,0.005196635630792111
11-9060,29-2090,17,0.003773529411764706,0.005135343503377621
11-9060,39-9040,17,0.003773529411764706,0.004465926913897467
11-9060,11-9110,17,0.003773529411764706,0.0039479105385641765
11-9060,11-9030,17,0.003773529411764706,0.0049424188973221485
11-9060,21-1020,17,0.003773529411764706,0.004545656890347845
11-9060,11-1010,17,0.003773529411764706,0.003999322592347167
11-9060,13-1040,17,0.003773529411764706,0.003816126059653174
11-9060,21-1010,17,0.003773529411764706,0.005039422789119903
11-9060,41-3020,17,0.003773529411764706,0.003705104172990146
11-9060,13-1120,17,0.003773529411764706,0.0038192578823252198
11-9070,33-9030,16,0.004009375,0.004038001061223777
11-9070,11-9080,16,0.004009375,0.003821299472639933
11-9070,43-1010,16,0.004009375,0.004079653803568041
11-9070,11-9050,16,0.004009375,0.004190614829715061
11-9070,39-3010,16,0.004009375,0.003994302161654135
11-9070,11-1020,16,0.004009375,0.003901763100603517
11-9070,41-1010,16,0.004009375,0.004139690789819865
11-9070,11-3030,16,0.004009375,0.003625031168031906
11-9070,43-3040,16,0.004009375,0.0037816076649958225
11-9070,27-2020,16,0.004009375,0.003523024749373434
11-9070,39-3090,16,0.004009375,0.004022605602548036
11-9070,41-2010,16,0.004009375,0.004008854866860865
11-9070,49-9091,16,0.004009375,0.0038856890618089337
11-9070,43-3070,16,0.004009375,0.003623426600355054
11-9070,35-9030,16,0.004009375,0.004064096849674595
11-9070,43-9021,16,0.004009375,0.004143482270653323
11-9080,39-6010,16,0.004009375,0.004163915442679954
11-9080,11-9050,16,0.004009375,0.004190614829715061
11-9080,11-9140,16,0.004009375,0.0035916800503095975
11-9080,11-9190,16,0.004009375,0.004158834734174855
11-9080,11-1020,16,0.004009375,0.003901763100603517
11-9080,13-1120,16,0.004009375,0.0038192578823252198
11-9080,43-4080,16,0.004009375,0.004033725660026652
11-9080,39-3090,16,0.004009375,0.004022605602548036
11-9080,41-2021,16,0.004009375,0.0038525393425851377
11-9080,37-1011,16,0.004009375,0.0043987976478930425
11-9080,43-4180,16,0.004009375,0.0038743358790884765
11-9080,39-9040,16,0.004009375,0.004465926913897467
11-9080,41-1010,16,0.004009375,0.004139690789819865
11-9080,43-1010,16,0.004009375,0.004079653803568041
11-9080,39-3030,16,0.004009375,0.0040542714458421695
11-9080,35-9030,16,0.004009375,0.004064096849674595
11-9110,11-9150,15,0.0042766666666666665,0.00430535586604332
11-9110,21-1090,15,0.0042766666666666665,0.004647638128010092
11-9110,29-1140,15,0.0042766666666666665,0.005779783811742315
11-9110,25-1000,15,0.0042766666666666665,0.004949767642296939
11-9110,43-6010,15,0.0042766666666666665,0.003996869222651773
11-9110,11-9030,15,0.0042766666666666665,0.0049424188973221485
11-9110,13-1110,15,0.0042766666666666665,0.004271442187628334
11-9110,29-9000,15,0.0042766666666666665,0.005060191613289002
11-9110,15-2090,15,0.0042766666666666665,0.004262290737835435
11-9110,21-1010,15,0.0042766666666666665,0.005039422789119903
11-9110,11-9120,15,0.0042766666666666665,0.004096890765874395
11-9110,29-2050,15,0.0042766666666666665,0.005196635630792111
11-9110,29-2090,15,0.0042766666666666665,0.005135343503377621
11-9110,11-3130,15,0.0042766666666666665,0.0050817240790912484
11-9110,31-9092,15,0.0042766666666666665,0.006175710705154897
11-9120,17-2030,19,0.003376315789473684,0.004421958001590677
11-9120,29-1140,19,0.003376315789473684,0.005779783811742315
11-9120,25-1000,19,0.003376315789473684,0.004949767642296939
11-9120,11-9110,19,0.003376315789473684,0.0039479105385641765
11-9120,19-2040,19,0.003376315789473684,0.004013859412140396
11-9120,17-2050,19,0.003376315789473684,0.003836663274152748
11-9120,19-1030,19,0.003376315789473684,0.003993020019523778
11-9120,19-2030,19,0.003376315789473684,0.004380021498338835
11-9120,19-4060,19,0.003376315789473684,0.0042936579915143795
11-9120,19-1020,19,0.003376315789473684,0.004401774423485502
11-9120,15-2090,19,0.003376315789473684,0.004262290737835435
11-9120,13-1190,19,0.003376315789473684,0.004254854649736996
11-9120,19-1040,19,0.003376315789473684,0.0048522098400763805
11-9120,17-2080,19,0.003376315789473684,0.0036771135011110768
11-9120,19-4090,19,0.003376315789473684,0.004249118536750644
11-9120,29-9000,19,0.003376315789473684,0.005060191613289002
11-9120,11-9190,19,0.003376315789473684,0.004158834734174855
11-9120,19-4020,19,0.003376315789473684,0.004265704602415129
11-9120,29-2010,19,0.003376315789473684,0.0046287648143073234
11-9130,43-5051,18,0.0035638888888888886,0.003743031100879398
11-9130,11-3070,18,0.0035638888888888886,0.0037581100236697387
11-9130,43-1010,18,0.0035638888888888886,0.004079653803568041
